distance,Place of interest,Place address,BiciMAD station,Station location
0.03270906228019299,Jardines del Arquitecto Ribera,CALLE BARCELO 2,54 - Barceló,Calle Barceló nº 7
0.07634524789643421,Jardines del Descubrimiento,CALLE GOYA 2,93 - Plaza de Colón,Calle Goya nº 1
0.12975655796625002,Jardines del Doctor Fleming,CALLE DOCTOR FLEMING 1,253 - Doctor Fleming,Calle Doctor Fleming nº 7
0.27524685956952905,Jardines del Mundial. Castellana,PASEO CASTELLANA 142 B,253 - Doctor Fleming,Calle Doctor Fleming nº 7
0.12936373449479163,Jardines del Príncipe de Anglona,PLAZA PAJA 6,35 - Plaza del Cordón,Plaza del Cordón
1.97363017845792,Jardín Botánico de Pradolongo,AVENIDA RAFAELA YBARRA,213 - Glorieta de Cádiz,Calle Antonio López nº 129
0.2707562008408665,Jardín Concejal Alejandro Muñoz Revenga,CALLE MELENDEZ VALDES 32,199 - Fernando el Católico,Calle Fernando el Católico nº 61
0.11122675918113724,Jardín Doña Concha Piquer,PASEO IMPERIAL 93,169 - Pirámides,Calle Toledo nº 181
0.05864248653743657,Jardín Fachada Pirámides I,PASEO ACACIAS 60,169 - Pirámides,Calle Toledo nº 181
0.15911542907109757,Jardín Glorieta de Azorín,CUESTA VEGA 3,167 - Segovia 45,Calle Segovia nº 45
2.1504964048656814,Jardín Jazmín,CALLE ROQUETAS DE MAR 10,249 - Manuel Caldeiro,Paseo de la Castellana nº 298
0.1270183142868634,Jardín Palacio O'Reilly,PLAZA CRUZ VERDE 2,35 - Plaza del Cordón,Plaza del Cordón
0.6830301437131048,Jardín de Embajadores M-30,CALLE PUERTO DE LA CRUZ VERDE 29,235 - Embajadores 191,Calle Sodio nº 1B
0.09758065984841391,Jardín de Larra,CALLE FACTOR 7,36 - Plaza Ramales,Plaza de Ramales
3.554245923319266,Jardín de la Colonia Congosto,CALLE CONGOSTO 70,221 - Pavones,Calle Hacienda de Pavones nº 342
0.07761951969292649,Jardín de las Bellas Artes,PASEO CASTELLANA 78 B,139 - José Gutiérrez Abascal ,Calle José Gutiérrez Abascal nº 2
0.23615313835160742,Jardín del Bulevar de Peña Gorbea,CALLE PEÑA GORBEA 17 B,227 - Concordia,Calle Arroyo del Olivar nº 6
0.37374517267913127,Jardín del Maestro Padilla,CALLE SAN ALEJANDRO 1,223 - Ermita Santo,Paseo de la Ermita del Santo nº 48
0.13439148806351922,Jardín del Templo de Debod,CALLE FERRAZ 1,115 - Ferraz,Calle Evaristo San Miguel nº 2
2.8137741901189814,Jardín del paseo Federico García Lorca,PASEO FEDERICO GARCIA LORCA 21,221 - Pavones,Calle Hacienda de Pavones nº 342
0.2542203852907717,Jardín el Torero,CALLE TORERO 6,222 - Antonio López,Calle Eugenio Caxes frente al nº 12
4.305368950794055,Jardín histórico El Capricho de la Alameda Osuna,PASEO ALAMEDA DE OSUNA 25,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32
0.10131953625439175,Palacio de Cristal de la Arganzuela: Invernadero,PASEO CHOPERA 10,165 - Entrada Matadero,Paseo de la Chopera nº 14
0.9738949218770778,Parque Agustín Rodríguez Sahagún,PASEO DIRECCION 301,207 - Remonta,Calle Azucenas nº 1
1.0772054051680187,Parque Alcalde Jesús Pérez Quijano,CALLE LADERA DE LOS ALMENDROS,221 - Pavones,Calle Hacienda de Pavones nº 342
3.1416115630512427,Parque Alfredo Kraus,CALLE MAR ADRIATICO 5,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32
0.32548407240743105,Parque Almansa,CALLE ALMANSA 97,256 - Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2
3.081938200474331,Parque Aluche,CALLE TEMBLEQUE 45,224 - Caramuel,Calle Caramuel nº 51
4.073225957002282,Parque Aluche - Poblados,CALLE GUAREÑA 22,224 - Caramuel,Calle Caramuel nº 51
2.67890695795662,Parque Alzola,CALLE BEASAIN 2,213 - Glorieta de Cádiz,Calle Antonio López nº 129
0.2871505544126442,Parque Antonio Pirala,CALLE ANTONIO PIRALA 8,188 - Puente de Ventas,Avenida de Daroca nº 2
0.07414188746180266,Parque Anunciación,CALLE ANUNCIACION 1,74 - Puerta del Pacífico ,Avenida de Menéndez Pelayo nº 73
2.8986837705465804,Parque Arquitecto Antonio Palacios,CALLE FENELON 17,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
0.6372626426945872,Parque Arroyo Fontarrón,CALLE ARROYO FONTARRON 22,221 - Pavones,Calle Hacienda de Pavones nº 342
2.7385620419219183,Parque Arroyo Fresno,AVENIDA VENTISQUERO DE LA CONDESA 43,217 - Pedro Rico,Calle Pedro Rico nº 4
4.7761918669586025,Parque Arroyo Pozuelo,Calle Arroyo Pozuelo ,261 - Facultad Derecho,Avenida Complutense nº 23
2.308298884973785,Parque Arroyo de los Pinos,CALLE JOAQUIN LORENZO 21,239 - Francos Rodríguez,Calle Francos Rodríguez nº 62
0.6473692018893831,Parque Avenida de Portugal,AUTOVIA A-5 300,216 - Puerta del Ángel,Plaza Puerta del Ángel nº 4
0.9939370400420361,Parque Azorín,AVENIDA ALBUFERA 142,226 - Sierra Toledana,Camino de Valderribas nº 94
2.833921313590801,Parque Barrio Las Musas,AVENIDA NIZA 55 B,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
